protein,ligand,short_name,category,DG,distance,is_productive
A8,13_(2E)-but-2-enal,(2E)-but-2-enal,"α,β-Unsaturated",-6.27,1.94,True
A8,14_trans-2-Hexenal,trans-2-Hexenal,"α,β-Unsaturated",-6.79,1.88,True
A8,15_heptanal,heptanal,Medium-chain,-6.98,1.96,True
A8,16_octanaldehyde,octanaldehyde,Medium-chain,-7.2,2.059,True
A8,17_nonanal,nonanal,Medium-chain,-7.5,1.647,True
A8,18_decanal,decanal,Medium-chain,-7.74,2.0,True
A8,19_dodecanal,dodecanal,Medium-chain,-8.27,2.514,True
A8,20_Citral,Citral,"α,β-Unsaturated",-7.77,1.592,True
A8,21_cis-2-Octenal,cis-2-Octenal,"α,β-Unsaturated",-7.23,1.686,True
A8,22_trans-2-Octenal,trans-2-Octenal,"α,β-Unsaturated",-7.23,1.858,True
A8,23_4-Hydroxynonenal,4-HNE,"α,β-Unsaturated",-7.49,2.134,True
A8,24_Tetradecanal,Tetradecanal,Medium-chain,-8.27,2.096,True
A8,25_hexadecanal,hexadecanal,Medium-chain,-8.77,2.266,True
A8,26_trans-2-hexadecenal,t-2-hexadecenal,"α,β-Unsaturated",-8.78,2.274,True
A8,27_Benzaldehyde,benzald.,Aromatic,-6.95,3.056,True
A8,28_Phenylacetaldehyde,phenylacetald.,Aromatic,-7.2,2.829,True
A8,29_Salicylaldehyde,salicylald.,Aromatic,-7.0,2.656,True
A8,2_acetaldehyde,acetaldehyde,Short-chain,-5.73,2.462,True
A8,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal","3,4-(OH)₂-cinnamald.",Aromatic,-7.54,7.729,False
A8,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",β-carotene ald.,Retinoid,-9.62,2.084,True
A8,32_9-cis-Retinal,9-cis-retinal,Retinoid,-9.43,2.399,True
